Age,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome,Attrition
41,Travel_Rarely,Sales,Life Sciences,B,Female,C,B,D,Single,5993,Yes,8,A,6,4,0,5,1,Yes
49,Travel_Frequently,Research & Development,Life Sciences,C,Male,B,B,B,Married,5130,No,10,C,10,7,1,7,8,No
37,Travel_Rarely,Research & Development,Other,D,Male,B,A,C,Single,2090,Yes,7,C,0,0,0,0,2,Yes
33,Travel_Frequently,Research & Development,Life Sciences,D,Female,C,A,C,Married,2909,Yes,8,C,8,7,3,0,3,No
27,Travel_Rarely,Research & Development,Medical,A,Male,C,A,B,Married,3468,No,6,C,2,2,2,2,2,No
32,Travel_Frequently,Research & Development,Life Sciences,D,Male,C,A,D,Single,3068,No,8,B,7,7,3,6,2,No
59,Travel_Rarely,Research & Development,Medical,C,Female,D,A,A,Married,2670,Yes,12,B,1,0,0,0,3,No
30,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,A,C,Divorced,2693,No,1,C,1,0,0,0,24,No
38,Travel_Frequently,Research & Development,Life Sciences,D,Male,B,C,C,Single,9526,No,10,C,9,7,1,8,23,No
36,Travel_Rarely,Research & Development,Medical,C,Male,C,B,C,Married,5237,No,17,B,7,7,7,7,27,No
35,Travel_Rarely,Research & Development,Medical,A,Male,D,A,B,Married,2426,No,6,C,5,4,0,3,16,No
29,Travel_Rarely,Research & Development,Life Sciences,D,Female,B,B,C,Single,4193,Yes,10,C,9,5,0,8,15,No
31,Travel_Rarely,Research & Development,Life Sciences,A,Male,C,A,C,Divorced,2911,No,5,B,5,2,4,3,26,No
34,Travel_Rarely,Research & Development,Medical,B,Male,C,A,D,Divorced,2661,No,3,C,2,2,1,2,19,No
28,Travel_Rarely,Research & Development,Life Sciences,C,Male,B,A,C,Single,2028,Yes,6,C,4,2,0,3,24,Yes
29,Travel_Rarely,Research & Development,Life Sciences,B,Female,D,C,A,Divorced,9980,No,10,C,10,9,8,8,21,No
32,Travel_Rarely,Research & Development,Life Sciences,A,Male,D,A,B,Divorced,3298,Yes,7,B,6,2,0,5,5,No
22,Non-Travel,Research & Development,Medical,D,Male,D,A,D,Divorced,2935,Yes,1,B,1,0,0,0,16,No
53,Travel_Rarely,Sales,Life Sciences,A,Female,B,D,D,Married,15427,No,31,C,25,8,3,7,2,No
